index,RSI_60_40,PIPS_sum,loss,profit,total_count,Profit_Percent
0,"28,20,20,4,20",362.8571429,0,1,1,100
1,"28,20,20,8,24",349.8928571,0,1,1,100
2,"20,20,8,24,24",333.9,0,1,1,100
3,"28,20,20,8,28",260.8833333,0,1,1,100
7,"20,20,8,28,28",243.085,0,1,1,100
14,"20,8,28,28,28",215.5683333,0,1,1,100
16,"64,72,76,76,72",196.6061905,1,8,9,88
18,"32,36,28,24,28",185.475,1,8,9,88
19,"88,88,80,92,92",182.8966667,0,1,1,100
30,"72,80,80,92,76",152.9816667,0,1,1,100
31,"80,92,92,92,84",151.405,0,1,1,100
32,"84,88,88,88,80",150.5035714,1,3,4,75
34,"56,16,24,20,24",136.5516667,0,2,2,100
35,"36,36,36,24,24",134.0333333,1,5,6,83
39,"40,40,28,24,24",132.1283333,0,1,1,100
40,"76,68,72,76,76",132.0042857,1,4,5,80
43,"48,32,28,28,32",130.1666667,0,2,2,100
44,"48,40,44,40,40",130.135,0,10,10,100
45,"32,28,24,20,20",128.4628571,1,4,5,80
46,"40,40,24,20,20",127,0,1,1,100
47,"60,88,84,88,88",123.5214286,0,1,1,100
48,"64,68,76,76,68",120.5978571,2,6,8,75
53,"48,48,60,88,84",116.9285714,0,1,1,100
62,"28,24,28,24,28",110.9583333,1,6,7,85
63,"56,64,76,76,72",109.7838095,1,4,5,80
64,"52,32,36,32,36",109.4866667,0,1,1,100
66,"64,72,84,84,80",107.8316667,0,1,1,100
68,"60,72,76,76,76",106.235,0,2,2,100
69,"56,60,68,80,72",104.7716667,0,1,1,100
70,"68,76,72,76,76",104.495,0,3,3,100
71,"48,84,88,88,88",103.4928571,0,1,1,100
74,"24,24,20,16,16",102.2566667,0,2,2,100
75,"64,64,64,20,20",101.2642857,0,1,1,100
76,"56,60,60,32,36",101.245,0,1,1,100
77,"72,72,80,80,80",100.87,0,4,4,100
81,"44,48,32,28,28",99.93666667,0,1,1,100
85,"48,20,20,20,20",98.71,0,1,1,100
86,"48,44,32,28,32",98.52666667,1,4,5,80
87,"36,28,28,32,32",97.72666667,0,3,3,100
88,"52,60,68,72,68",97.32333333,1,7,8,87
89,"36,32,24,24,28",97.025,1,6,7,85
90,"36,32,36,8,16",96.77857143,0,1,1,100
91,"44,44,48,20,20",96.6,0,1,1,100
93,"76,72,80,80,76",96.005,0,4,4,100
96,"72,84,84,80,76",92.27833333,0,1,1,100
98,"64,64,20,20,20",91.18571429,0,1,1,100
99,"68,80,80,84,80",91.045,0,2,2,100
101,"32,72,76,76,72",90.38333333,0,1,1,100
102,"44,40,16,12,16",89.61,0,1,1,100
103,"52,64,68,68,68",89.37404762,2,8,10,80
107,"24,20,24,20,20",88.12738095,1,3,4,75
108,"32,24,20,8,20",87.77857143,0,1,1,100
109,"60,60,52,20,28",87.62857143,0,1,1,100
111,"56,52,48,48,16",86.89285714,0,1,1,100
112,"60,60,60,36,40",86.7,0,1,1,100
113,"64,68,64,84,76",85.88333333,0,1,1,100
115,"76,64,88,88,88",85.64285714,0,1,1,100
116,"68,72,60,80,76",85.425,0,1,1,100
117,"48,48,56,64,64",85.13166667,0,7,7,100
121,"64,76,76,80,68",83.89166667,0,2,2,100
123,"40,32,36,28,32",83.41166667,0,3,3,100
125,"28,20,20,16,20",83.09619048,1,3,4,75
127,"44,48,52,20,24",82.89166667,0,1,1,100
129,"72,76,72,72,72",82.31833333,0,4,4,100
130,"52,12,16,16,16",81.07857143,0,1,1,100
131,"48,48,16,16,20",81.05666667,0,1,1,100
132,"52,64,68,68,64",80.53666667,2,7,9,77
134,"16,16,16,16,20",80.125,0,1,1,100
135,"60,68,80,72,68",80.015,0,1,1,100
136,"76,72,76,84,80",79.985,0,1,1,100
137,"76,84,76,84,76",79.62857143,0,1,1,100
138,"52,64,60,68,64",79.395,0,4,4,100
141,"64,64,56,16,24",78.255,0,1,1,100
143,"68,80,80,80,76",78.105,0,2,2,100
144,"52,68,84,84,80",78.035,0,1,1,100
149,"32,28,16,16,28",77.47666667,0,2,2,100
150,"36,80,80,80,76",77.325,0,1,1,100
152,"56,64,60,68,64",76.57833333,0,4,4,100
153,"16,20,24,20,24",76.515,0,1,1,100
154,"60,24,20,20,20",76.42666667,0,1,1,100
155,"64,88,88,88,76",76.40333333,0,1,1,100
156,"44,36,24,24,32",75.97166667,0,3,3,100
158,"52,56,52,12,16",75.64285714,0,1,1,100
159,"12,16,16,16,20",75.44333333,0,1,1,100
161,"52,72,72,76,76",75.005,0,1,1,100
162,"84,80,84,80,80",74.76,0,1,1,100
164,"44,44,24,24,24",73.89333333,0,1,1,100
167,"60,52,64,84,84",73.27857143,0,1,1,100
168,"64,64,60,88,84",73.06428571,0,1,1,100
169,"68,68,76,76,68",72.87333333,0,5,5,100
171,"32,24,24,28,32",72.75,0,3,3,100
172,"48,44,48,72,68",72.57,0,1,1,100
173,"84,76,84,76,76",72.37,0,1,1,100
175,"68,64,84,76,72",72.31333333,0,1,1,100
177,"32,28,28,12,28",72.15,0,1,1,100
178,"52,60,28,24,28",72.13333333,0,1,1,100
179,"8,8,4,8,20",72.11666667,0,1,1,100
181,"68,68,80,80,72",71.85452381,1,3,4,75
183,"20,20,20,20,24",71.36666667,0,1,1,100
184,"60,68,68,68,64",71.325,1,3,4,75
185,"40,40,40,28,32",70.88166667,1,5,6,83
187,"56,76,76,80,76",70.65666667,0,1,1,100
188,"40,16,12,16,24",70.61166667,0,1,1,100
190,"12,8,8,4,8",70.50714286,0,1,1,100
191,"52,48,36,28,28",70.45666667,0,2,2,100
192,"52,48,56,56,56",70.42833333,2,6,8,75
194,"84,72,80,84,84",70.25714286,0,1,1,100
195,"44,40,32,48,84",70.21428571,0,1,1,100
196,"52,52,60,56,84",70.14285714,0,1,1,100
197,"44,48,40,72,64",70.02833333,0,1,1,100
199,"44,32,28,28,28",69.89833333,0,2,2,100
200,"48,56,80,84,72",69.82,0,1,1,100
203,"80,80,80,76,76",69.34666667,0,1,1,100
206,"64,60,88,84,84",69.14,0,1,1,100
207,"48,16,16,20,24",69.12666667,0,1,1,100
208,"52,52,56,16,24",68.99,0,1,1,100
209,"92,92,96,96,96",68.83571429,0,1,1,100
211,"68,84,84,80,76",68.195,0,1,1,100
212,"64,8,12,12,12",67.93571429,0,1,1,100
214,"56,56,72,68,68",67.72,0,3,3,100
217,"20,12,16,12,20",67.455,0,1,1,100
218,"60,52,56,16,24",67.29833333,0,1,1,100
219,"72,72,72,80,72",67.29,0,4,4,100
223,"40,36,40,40,84",66.47142857,0,1,1,100
224,"16,24,20,20,24",66.39833333,0,1,1,100
225,"72,64,68,76,72",66.25,0,2,2,100
226,"20,28,32,28,36",66.21166667,0,1,1,100
227,"64,76,72,76,72",65.65833333,0,2,2,100
228,"60,72,80,80,80",65.36166667,0,1,1,100
231,"64,64,64,8,12",64.91428571,0,1,1,100
232,"60,52,48,36,40",64.72,0,2,2,100
233,"56,60,52,44,44",64.62833333,0,1,1,100
235,"60,64,76,80,76",64.405,0,3,3,100
236,"40,32,24,24,28",64.205,1,3,4,75
242,"48,52,64,88,88",63.5,0,1,1,100
243,"68,60,84,84,80",63.08571429,0,1,1,100
244,"72,72,24,20,20",63.07857143,0,1,1,100
245,"16,12,16,24,28",62.85,0,1,1,100
246,"72,60,80,76,68",62.55833333,0,1,1,100
248,"48,52,20,24,32",62.29833333,0,1,1,100
250,"72,24,20,20,24",62.235,0,1,1,100
251,"68,64,72,76,68",62.17666667,1,3,4,75
252,"12,20,20,16,20",62.105,0,1,1,100
